areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03
All Downtown,Manhattan,submarket,2995,2950,2900,2975,2995,3000,3000,3000,3200,3200,3100,3188,3162,3200,3195,3185,3200,3250,3200,3235,3340,3395,3300,3250,3250,3200,3300,3313,3350,3300,3300,3295,3350,3370,3300,3300,3300,3325,3395,3374,3350,3300,3325,3400,3425,3495,3516,3499,3500,3500,3481,3475,3465,3402,3426,3450,3495,3450,3400,3475,3500,3500,3500,3525,3500,3500,3495,3588,3600,3595,3535,3595,3550,3600,3650,3680,3663,3650,3621,3520,3550,3551,3500,3500,3500,3560,3500,3502,3500,3500,3495,3548,3500,3500,3495,3495,3500,3560,3550,3530,3500,3500,3500,3550,3599,3600,3695,3683,3695,3750,3695,3795,3800,3850,3850,3800,3845,3895,3896,3915,3900,3969,3900,3795,3501,3436,3295,3200,3148,3100,3021,3100,3164,3243,3280,3300,3410,3500,3661,3798,4000,4154,4200,4350,4458,4500,4500,4550,4535,4500,4500,4500,4500,4500,4495,4500,4500,4645,4500,4650,4695,4670,4500,4500,4550,4500,4500,4600,4730,4750,4705
All Midtown,Manhattan,submarket,2800,2800,2850,2895,2900,2970,3000,3012,3095,3017,3000,3000,3000,3000,3048,3100,3197,3200,3250,3250,3220,3213,3250,3250,3200,3200,3200,3290,3343,3310,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3350,3350,3393,3395,3350,3350,3390,3350,3375,3400,3431,3450,3500,3483,3450,3400,3433,3450,3490,3462,3495,3495,3500,3551,3550,3550,3500,3500,3500,3473,3495,3450,3500,3500,3550,3600,3575,3500,3500,3500,3495,3457,3490,3435,3495,3500,3500,3510,3515,3500,3500,3495,3495,3300,3322,3350,3380,3375,3400,3490,3500,3495,3500,3500,3500,3495,3500,3500,3550,3590,3600,3632,3616,3685,3695,3646,3650,3646,3600,3600,3650,3650,3500,3339,3200,3085,2995,2950,2925,2900,2900,2934,2975,3000,3186,3250,3395,3588,3600,3800,3875,4000,4083,4195,4220,4250,4300,4350,4375,4360,4200,4250,4195,4195,4180,4250,4300,4355,4461,4450,4490,4400,4391,4329,4210,4173,4210,4300,4308,4395
All Upper East Side,Manhattan,submarket,2350,2300,2350,2470,2500,2500,2500,2490,2500,2500,2400,2500,2475,2400,2400,2500,2600,2650,2550,2600,2650,2695,2700,2695,2600,2650,2600,2650,2600,2650,2650,2600,2695,2600,2625,2650,2650,2700,2750,2665,2695,2695,2650,2750,2763,2750,2700,2700,2675,2695,2600,2650,2625,2600,2625,2550,2600,2650,2700,2788,2750,2813,2848,2750,2750,2800,2800,2850,2935,2850,2800,2895,2900,2895,2929,2890,2850,2795,2750,2737,2775,2790,2800,2870,2800,2800,2850,2850,2800,2815,2800,2795,2850,2788,2795,2795,2800,2750,2775,2700,2695,2800,2795,2778,2795,2850,2900,2950,2950,2995,2950,2860,2895,2950,2900,2795,2813,2925,3000,3100,3170,3175,3150,3000,2950,2837,2695,2521,2500,2500,2400,2450,2375,2404,2400,2350,2435,2495,2595,2675,2750,2800,2950,3095,3295,3400,3250,3195,3250,3295,3300,3350,3395,3395,3500,3595,3595,3600,3797,3700,3750,3650,3500,3500,3500,3550,3600,3585,3600,3795,3695
All Upper Manhattan,Manhattan,submarket,1500,1516,1545,1516,1550,1575,1550,1550,1600,1595,1550,1500,1550,1585,1600,1600,1600,1600,1700,1750,1797,1695,1695,1650,1625,1650,1700,1675,1700,1650,1650,1775,1725,1750,1730,1699,1700,1700,1700,1675,1700,1750,1775,1795,1800,1725,1700,1713,1725,1700,1675,1750,1800,1795,1775,1750,1750,1775,1765,1750,1789,1800,1800,1850,1850,1900,1900,1900,1895,1850,1850,1850,1865,1880,1925,1921,1950,1950,1968,1950,1925,1950,1900,1950,1965,1950,1941,1950,1950,1950,1985,1995,1975,1969,1900,1935,1935,1950,1950,1995,2000,2000,2000,1973,1950,1950,1960,1950,1995,1995,1995,1995,2050,2075,2000,2056,2050,2017,2016,2076,2075,2100,2150,2150,2099,2025,2000,1975,1925,1900,1900,1875,1875,1875,1865,1900,1925,1950,1950,1950,1975,1980,1995,1995,1995,2000,2072,2150,2195,2270,2309,2350,2350,2302,2299,2299,2300,2350,2375,2400,2450,2495,2450,2475,2450,2400,2400,2400,2450,2495,2500
All Upper West Side,Manhattan,submarket,2600,2565,2495,2500,2500,2600,2600,2650,2750,2800,2800,2695,2700,2750,2750,2800,2800,2900,2850,2925,2900,2900,2950,3000,3000,2960,2900,2950,2900,2900,2995,2950,2995,2975,2995,2995,2950,2975,3000,3000,3000,2900,2850,2950,3000,3000,2950,2990,2950,2995,3000,3100,3100,3000,2997,2995,3050,3043,3000,3000,3050,3100,3100,3150,3150,3150,3225,3250,3295,3250,3200,3200,3200,3200,3200,3226,3200,3150,3189,3193,3200,3200,3120,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3095,3050,3140,3100,3081,3095,3100,3100,3100,3050,3050,3100,3150,3090,3150,3231,3200,3200,3349,3202,3254,3200,3300,3380,3395,3400,3395,3400,3375,3366,3203,3100,3000,2924,2800,2750,2662,2650,2657,2650,2695,2700,2750,2900,2900,2965,3075,3200,3400,3650,3750,3839,3850,3900,4034,4000,3985,4000,3950,4066,4129,4050,4000,4059,4121,4200,4272,4200,4000,4100,4100,4124,4095,4000,3995,4000,4198,4200
Astoria,Queens,neighborhood,1395,1450,1450,1395,1400,1550,1475,1450,1500,1600,1545,1450,1450,1450,1600,1725,1875,1888,1700,1850,1888,1850,1800,1850,1633,1795,1800,1850,1800,1700,1998,2000,2138,2100,1950,1795,1623,1700,1699,1750,1900,1850,1942,1900,1900,1900,1850,1800,1800,1800,1800,1800,1800,1800,1800,1850,1800,1850,1850,1800,1875,1863,1875,1850,1900,1900,1900,2000,1900,1900,1900,1900,1900,1975,1950,1999,1950,1995,1900,1950,2000,2000,2000,1995,2000,1925,1900,1900,1900,1900,1900,1950,1900,1895,1850,1850,1850,1850,1850,1875,1900,1850,1900,1900,1950,1900,1900,1950,1900,1900,1900,1950,2000,1950,1950,1995,2000,2000,2025,1975,2000,2100,2100,2050,1995,1900,1900,1895,1850,1800,1800,1800,1750,1750,1750,1775,1795,1800,1850,1875,1900,1950,1925,1950,1975,2000,2000,2050,2150,2250,2350,2400,2400,2395,2350,2300,2395,2400,2400,2400,2496,2450,2450,2495,2495,2400,2400,2400,2463,2500,2500
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,,,1450,1400,,,,,,1500,,,,1550,1625,1500,1500,1499,1537,1550,1588,1525,1549,1599,1597,1599,1525,1525,1748,1725,1538,1725,1713,1695,1700,,,,1600,,,1550,1550,1690,1550,1575,1600,1624,1655,1600,1600,1600,1600,1638,1625,1659,1615,1648,1550,1650,1600,1600,1650,1650,1650,1750,1750,1700,,1750,,,,,,1750,,,1700,,,1850,1800,1995
Battery Park City,Manhattan,neighborhood,2875,2800,2900,2873,2800,2900,2950,2975,3000,3075,3000,3045,2950,2895,2900,2835,2950,3138,3140,3150,3195,3135,3000,3068,3120,3155,3200,3200,3200,3215,3295,3308,3200,3225,3200,3225,3295,3200,3250,3250,3448,3343,3295,3350,3295,3338,3368,3350,3385,3325,3400,3260,3300,3500,3540,3500,3573,3400,3295,3250,3400,3500,3600,3600,3713,3785,3705,3798,3835,3813,3800,3700,3525,3600,3615,3750,3825,3795,3813,3683,3600,3550,3525,3585,3600,3575,3513,3500,3575,3694,3681,3600,3450,3550,3476,3564,3499,3475,3595,3574,3695,3650,3935,3943,3828,3750,3775,3825,3700,3995,3970,3895,3950,4055,4028,4019,3995,3950,4132,4000,3950,3950,3940,3950,3759,3500,3495,3300,3450,3388,3275,3300,3290,3325,3400,3500,3698,3800,3960,4055,4190,4075,4110,4240,4100,4125,4413,4425,4730,4700,4810,4618,4295,4280,4153,4150,4250,4590,4500,4500,4800,4895,4895,4868,4730,4515,4425,4325,4320,4355,4545
Bay Ridge,Brooklyn,neighborhood,1350,1350,1350,1325,1300,1300,1300,1300,1300,1300,1300,1300,1300,1350,1300,1300,1300,1300,1350,1438,1463,1450,1350,1350,1398,1300,1295,1325,,1325,1350,1400,1450,1450,1450,1495,1438,1425,1400,1495,1525,1525,1513,1495,1550,1500,1500,1500,1550,1550,1550,1525,1525,1500,1450,1500,1500,1550,1550,1550,1500,1513,1575,1600,1598,1588,1600,1650,1700,1675,1650,1650,1600,1600,1650,1650,1650,1700,1700,1650,1650,1650,1650,1675,1650,1650,1600,1625,1635,1650,1650,1650,1600,1650,1675,1650,1650,1675,1650,1675,1675,1700,1699,1700,1700,1695,1700,1700,1663,1725,1700,1699,1700,1700,1700,1695,1725,1700,1700,1699,1700,1725,1750,1746,1750,1750,1750,1750,1700,1700,1675,1650,1650,1650,1650,1675,1675,1650,1650,1699,1700,1700,1700,1700,1700,1700,1750,1750,1800,1750,1800,1895,1900,1890,1800,1850,1900,1995,1995,1900,1950,1900,1950,1999,2000,1900,1900,1913,1950,2039,1985
